ISOURBID,ISO3,URBID,NAME,SCHNM,ES90POP,ES95POP,ES00POP,SQKM_FINAL,URB_D_MEAN,BUF_D_MEAN,D_T_DIFF,URB_N_MEAN,BUF_N_MEAN,N_T_DIFF,LATITUDE,LONGITUDE
GRL8,GRL,8,Upernavik,UPERNAVIK,918,1015,1123,4.93,7.05,7.95,-0.90,-3.16,-1.66,-1.50,72.78859775,-56.14005599
USA15,USA,15,Barrow,BARROW,3469,3986,4581,152.21,10.65,12.41,-1.76,-0.45,0.80,-1.25,71.30396294,-156.7302058
NOR17,NOR,17,Honningsvåg,HONNINGSVAG,2237,2356,2510,47.58,16.66,14.53,2.13,5.43,6.72,-1.29,71.00498858,25.96256797
NOR19,NOR,19,Hav?ysund,HAVOYSUND,1285,1235,1163,19.44,14.61,14.87,-0.26,5.61,5.75,-0.14,70.98306828,24.65280265
NOR21,NOR,21,Kj?llefjord,KJOLLEFJORD,1159,1115,1049,35.16,20.33,18.24,2.09,4.57,6.96,-2.40,70.94386971,27.35639187
NOR26,NOR,26,Berlevåg,BERLEVAG,1297,1247,1174,35.15,20.68,18.98,1.70,6.75,6.09,0.67,70.84313287,29.07092112
GRL31,GRL,31,Uummannaq,UUMMANNAQ,1405,1422,1440,7.38,9.84,11.15,-1.31,1.52,4.49,-2.97,70.69062226,-52.12977833
RUS40,RUS,40,Anadyr,ANADYR,12054,12035,11900,130.00,23.86,22.77,1.10,-0.27,3.21,-3.48,64.75772285,177.7247612
WLF52,WLF,52,Mata'utu,MATAUTU,1222,1150,1083,21.73,28.52,27.59,0.93,22.25,23.77,-1.52,-13.27915541,-176.1717912
WSM53,WSM,53,Apia,APIA,48921,52041,55640,84.75,30.07,26.06,4.01,21.97,20.48,1.49,-13.85220631,-171.7693123
FJI58,FJI,58,Labasa,LABASA,5495,6313,7254,257.19,33.27,31.40,1.87,21.29,21.69,-0.40,-16.46931299,179.3622304
FJI68,FJI,68,Lautoka,LAUTOKA,52847,58677,65275,1072.32,33.94,31.56,2.38,21.02,20.54,0.48,-17.61844031,177.6378907
FJI76,FJI,76,Suva,SUVA,87419,92593,98097,234.22,33.06,30.66,2.40,20.79,20.28,0.51,-18.06908984,178.4996775
FJI78,FJI,78,Sigatoka,SIGATOKA,1881,1641,1432,91.74,31.97,31.84,0.13,22.54,22.74,-0.20,-18.13122951,177.4706059
TON84,TON,84,Neiafu,NEIAFU,3927,3988,4050,14.83,31.43,28.99,2.44,23.68,22.82,0.86,-18.64759078,-173.9798468
TON86,TON,86,Nuku'alofa,NUKUALOFA,34339,35362,36424,191.62,30.73,28.99,1.74,22.10,22.20,-0.10,-21.17154099,-175.2008007
NZL87,NZL,87,Whakatane,WHAKATANE,17167,17441,17719,51.13,28.99,27.94,1.05,12.19,11.68,0.51,-37.96300811,176.9850298
NZL89,NZL,89,Opotiki,OPOTIKI,4453,4241,4039,39.40,30.02,27.48,2.54,11.69,11.76,-0.06,-38.01364908,177.2993436
